name,description,language,tags
facter,Collect and display system facts,Ruby,[]
hr-opensource,An open forum for anyone to discuss HR related topics & ideas,,[]
kestrel,"simple, distributed message queue system (inactive)",Scala,[]
brakeman,A static analysis security vulnerability scanner for Ruby on Rails applications,Ruby,[]
winbootstrap,,PowerShell,[]
Rebel,Cocoa framework for improving AppKit,Objective-C,[]
html-pipeline,HTML processing filters and utilities,Ruby,[]
lua-nginx-module,Embed the Power of Lua into NGINX HTTP servers,C,[]
guard,Guard is a command line tool to easily handle events on file system modifications.,Ruby,[]
evenflow,sFlow to Graphite bridge,Ruby,[]
GitPad,Notepad.exe as Git commit editor,C#,[]
azure-quickstart-templates,Azure Quickstart Templates,Shell,[]
swordfish,EXPERIMENTAL password management app. Don't use this.,Ruby,[]
Archimedes,Geometry functions for Cocoa and Cocoa Touch,Objective-C,[]
msysgit,The version of msysGit that ships with GitHub for Windows,C,[]
kano-desktop,,Shell,[]
octo-recipes,A GitHub repository used to collaborate on recipes,,[]
pong,Auxiliary repository for external ping checks,,[]
puppetlabs-puppet,Server automation framework and application,Ruby,[]
zero_push,Ruby wrapper for the ZeroPush API,Ruby,[]
twui,A framework for developing interfaces on the Mac.,Objective-C,[]
rubycas-server,"Provides single sign-on authentication for web applications, implementing the server-end of Jasig's CAS protocol.",Ruby,[]
ernicorn,Ruby BERTRPC server based on Unicorn,Ruby,[]
posix-spawn,Fast Process::spawn for Rubys >= 1.8.7 based on the posix_spawn() system interfaces,Ruby,[]
jquery-relatize_date,jQuery version of technoweenie's relative date js library.,JavaScript,[]
learn.github.com,The discovery gate for all things educational for Git and GitHub.,CSS,[]
media,Media files for use in your GitHub integration projects,,[]
node-statsd,node.js client for Etsy'd StatsD server,JavaScript,[]
puppet-aptmirror,Mirror of Puppet's APT repo,Ruby,[]
taps,simple database import/export app,Ruby,[]
ruby-thecodeshop,The Ruby Programming Language,Ruby,[]
ssziparchive,Utility class for zipping and unzipping files on iOS and Mac,C,[]
upload,Script to upload files to non-repo storage from the command line,Ruby,[]
rack-statsd,monitor your rack apps in production,Ruby,[]
enterprise-ohai,Ohai plugins from GitHub Enterprise,Ruby,[]
pagerduty-incident-webhooks,Heroku app that fires webhooks for triggered PagerDuty incidents,Ruby,[]
RepoRepairTool,Repairs common Windows repository problems with encodings or line endings,C#,[]
ghterm,github terminal,JavaScript,[]
safegem,GitHub's safe gem eval web service,Ruby,[]
request_timer,Simple Rails request timer with even simpler js bookmarklet.,Ruby,[]
gem-builder,The scripts used to build RubyGems on GitHub,Ruby,[]
will_paginate_with_hotkeys,Evil twin plugin version of will_paginate to work with jQuery hotkeys plugin.,Ruby,[]
jquery-hotkeys,jQuery hotkeys plugin.,JavaScript,[]
yard-sinatra,Display sinatra routes in yard documentation.,Ruby,[]
fog,The Ruby cloud services library.,Ruby,[]
AFNetworking,A delightful iOS and OS X networking framework,Objective-C,[]
redcloth,RedCloth is a Ruby library for converting Textile into HTML.,Ragel in Ruby Host,[]
ledbetter,Script that scrapes alert statistics from Nagios and reports them to Graphite,Ruby,[]
SharpDevelop,#develop (short for SharpDevelop) is a free IDE for .NET programming languages.,C#,[]
dat-science,Replaced by https://github.com/github/scientist,Ruby,[]
Quick,A behavior-driven development test framework for Swift and Objective-C.,Swift,[]
expecta,A Matcher Framework for Objective-C/Cocoa,Objective-C,[]
Nimble,A Matcher Framework for Swift and Objective-C,Swift,[]
OHHTTPStubs,A class to stub network requests easily: test your apps with fake network data (stubbed from file) and custom response time,Objective-C,[]
grocer,Pushing your Apple notifications since 2012.,Ruby,[]
aptly,aptly - Debian repository management tool,Go,[]
railsless-deploy,"Obsolete, see http://www.capistranorb.com/ for new Capistrano with no Railsisms!",Ruby,[]
circuitbreaker,Circuit Breakers in Go,Go,[]
nagioseasier-module,"Make nagios easier to use, because you deserve it.",C,[]
GHKeyBrowser,GitHub Key Verification Helper,C++,[]
garethr-docker,Puppet module for managing docker,Ruby,[]
STUtils,,Objective-C,[]
veewee,Easing the building of vagrant boxes,Shell,[]
dat-analysis,Analyze results from dat-science.,Ruby,[]
nagios-plugins-github,,C,[]
specta,A light-weight TDD / BDD framework for Objective-C & Cocoa,Objective-C,[]
grit,Grit gives you object oriented read/write access to Git repositories via Ruby.,Ruby,[]
foreman,Manage Procfile-based applications,Ruby,[]
git-msysgit,GitHub version of msysgit/git,C,[]
training.github.com,Legacy (no longer published) GitHub Training site,CSS,[]
game-o,O! a Cut.js game,JavaScript,[]
gollum,Unsupported — use https://github.com/gollum/gollum!,Ruby,[]
MASPreferences,Custom implementation of Preferences window in Cocoa applications for Mac OS X,Objective-C,[]
backstop,HTTP service for submitting metrics to Graphite,Ruby,[]
uiimage-from-animated-gif,A UIImage category that loads animated GIFs,Objective-C,[]
hubahuba,Ruby and Rails core extensions used by GitHub.,Ruby,[]
teach.github.com,The open source teaching materials site for Git and GitHub technologies,CSS,[]
gitcasts,Educational screencasts about Git,CSS,[]
htttee,unix's tee over http,Ruby,[]
marginalia,Attach comments to ActiveRecord's SQL queries,Ruby,[]
buildstep,Buildstep uses Docker and Buildpacks to build applications like Heroku,Shell,[]
django-floppyforms,Full control of form rendering in the templates.,Python,[]
rack-ssl-enforcer,A simple Rack middleware to enforce ssl connections,Ruby,[]
gitscm-old,Git homepage that rocks - from the git.or.cz awesomeness,Ruby,[]
faceup,More than just mustaches.,JavaScript,[]
aroma,"a game engine: lua, opengl es 2.0, native client",C,[]
puppet-module-group,Puppet Group Module (custom group providers),Ruby,[]
windows-msysgit,This repository is deprecated.,Perl,[]
pycon2011,,Python,[]
